Name,TeamAbbrev,Game Info,Position,Salary,projPoints,variance,Ownership,Leverage,inPool,PassingC/A,PassingYds,PassingTDs,PassingInts,TeamTotalRushingAtt,%RushingAtt,RushingAtt,TeamTotalRushingYds,%RushingYds,RushingYds,TeamTotalRushingTDs,%RushingTDs,RushingTDs,ReceivingTGTS,TeamTotalReceivingRec,%ReceivingRec,ReceivingRec,TeamTotalReceivingYds,%ReceivingYds,ReceivingYds,TeamTotalReceivingTDs,%ReceivingTDs,ReceivingTDs,ReceivingTGTS,Roster Position,ID
Kylen Granson,IND,IND@ATL 12/24/2023 01:00PM ET,TE,2600.0,5.73,26.144972430123293,2.3,0.04674161631057135,1,0.00/0.00,0.0,0.0,0.0,26.93,0.0,0.0,124.25,0.0,0.0,0.87,0.0,0.0,3.62,20.3,12.019704433497536,2.44,216.25,11.329479768786127,24.5,1.18,11.864406779661019,0.14,3.62,TE/FLEX,31794700
Geoff Swaim,ARI,ARI@CHI 12/24/2023 04:25PM ET,TE,2600.0,1.4480000000000002,8.501271996006146,0.001,5.987007973500725e-09,1,0.00/0.00,0.0,0.0,0.0,28.59,0.0,0.0,126.63,0.0,0.0,0.9400000000000001,0.0,0.0,0.95,20.88,3.2088122605363987,0.67,220.78,2.436814928888486,5.38,1.05,3.8095238095238093,0.04,0.95,TE/FLEX,31794702
Colby Parkinson,SEA,SEA@TEN 12/24/2023 01:00PM ET,TE,2600.0,3.367,13.988274400171163,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,26.740000000000002,0.0,0.0,109.96000000000001,0.0,0.0,0.83,0.0,0.0,1.97,21.53,6.316767301439851,1.36,241.79999999999998,6.066997518610422,14.67,1.49,6.040268456375839,0.09,1.97,TE/FLEX,31794704
Tommy Tremble,CAR,GB@CAR 12/24/2023 01:00PM ET,TE,2600.0,3.4960000000000004,14.405515132877598,2.3,1.1046971046598755e-05,1,0.00/0.00,0.0,0.0,0.0,29.76,0.0,0.0,130.04000000000002,0.0,0.0,0.76,0.0,0.0,2.43,18.830000000000002,8.337758895379713,1.57,182.96,7.575426322693485,13.86,0.9299999999999999,9.67741935483871,0.09,2.43,TE/FLEX,31794706
Tyler Kroft,MIA,DAL@MIA 12/24/2023 04:25PM ET,TE,2500.0,1.984,9.071908767169909,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,26.9,0.0,0.0,128.35,0.0,0.0,1.0,0.0,0.0,1.22,23.3,3.51931330472103,0.82,273.56,2.9390261734171657,8.04,1.73,3.4682080924855487,0.06,1.22,TE/FLEX,31794712
Luke Schoonmaker,DAL,DAL@MIA 12/24/2023 04:25PM ET,TE,2500.0,0.613,6.640512032924704,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,25.83,0.0,0.0,115.25999999999999,0.0,0.0,0.77,0.0,0.0,0.36,24.65,1.0141987829614605,0.25,264.59000000000003,0.9184020560111871,2.43,1.75,1.1428571428571428,0.02,0.36,TE/FLEX,31794718
Peyton Hendershot,DAL,DAL@MIA 12/24/2023 04:25PM ET,TE,2500.0,1.236,9.315208599834214,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,25.83,0.0,0.0,115.25999999999999,0.0,0.0,0.77,0.0,0.0,0.73,24.65,2.0689655172413794,0.51,264.59000000000003,1.8368041120223741,4.86,1.75,2.2857142857142856,0.04,0.73,TE/FLEX,31794720
Robert Tonyan,CHI,ARI@CHI 12/24/2023 04:25PM ET,TE,2500.0,1.886,8.70134807784536,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,30.71,0.0,0.0,138.68,0.0,0.0,1.01,0.0,0.0,1.05,19.39,3.8164002062919025,0.74,213.15,3.406052076002815,7.26,1.38,5.072463768115943,0.07,1.05,TE/FLEX,31794730
Marcedes Lewis,CHI,ARI@CHI 12/24/2023 04:25PM ET,TE,2500.0,0.495,5.820579489831727,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,30.71,0.0,0.0,138.68,0.0,0.0,1.01,0.0,0.0,0.3,19.39,0.928313563692625,0.18,213.15,0.9148486980999296,1.95,1.38,1.4492753623188408,0.02,0.3,TE/FLEX,31794732
Ko Kieft,TB,JAX@TB 12/24/2023 04:05PM ET,TE,2500.0,1.5530000000000002,8.294849095351717,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,27.71,0.0,0.0,113.07000000000001,0.0,0.0,0.76,0.0,0.0,0.98,21.209999999999997,3.111739745403112,0.66,236.56,2.7603990530943525,6.53,1.39,2.877697841726619,0.04,0.98,TE/FLEX,31794744
